,option,val_0,val_1,val_2
0,8139TOO_8129,90668,1803,0
1,ACENIC_OMIT_TIGON_I,90696,1775,0
2,ACPI,53630,38841,0
3,ACPI_DEBUG,63423,29048,0
4,ACPI_REDUCED_HARDWARE_ONLY,77694,14777,0
5,ADVISE_SYSCALLS,34928,57543,0
6,AIO,34927,57544,0
7,ATA_VERBOSE_ERROR,74104,18367,0
8,ATH9K_DFS_CERTIFIED,92155,316,0
9,ATM_FORE200E_DEBUG,0,0,0
10,B43LEGACY_DMA_MODE,0,0,0
11,B43LEGACY_PIO_MODE,0,0,0
12,BASE_FULL,35024,57447,0
13,BATMAN_ADV_BLA,84947,7524,0
14,BATMAN_ADV_DAT,85024,7447,0
15,BATMAN_ADV_NC,77389,15082,0
16,BINFMT_ELF,22879,69592,0
17,BLK_DEV_INITRD,46302,46169,0
18,BLK_DEV_RAM_DAX,87949,4522,0
19,BRIDGE_IGMP_SNOOPING,85070,7401,0
20,BRIDGE_VLAN_FILTERING,82545,9926,0
21,BUG,19442,73029,0
22,CAN_CALC_BITTIMING,82642,9829,0
23,CAPI_TRACE,88393,4078,0
24,CC_OPTIMIZE_FOR_SIZE,82074,10397,0
25,CC_STACKPROTECTOR_REGULAR,0,0,0
26,CC_STACKPROTECTOR_STRONG,0,0,0
27,CEPH_LIB_PRETTYDEBUG,83356,9115,0
28,CIFS_DEBUG,88877,3594,0
29,CIFS_DEBUG2,90670,1801,0
30,CPU_SUP_AMD,17386,75085,0
31,CPU_SUP_CENTAUR,17474,74997,0
32,CPU_SUP_CYRIX_32,0,0,0
33,CPU_SUP_INTEL,17408,75063,0
34,CPU_SUP_TRANSMETA_32,0,0,0
35,CPU_SUP_UMC_32,0,0,0
36,DEBUG_INFO,83581,8890,0
37,DEBUG_INFO_DWARF4,88048,4423,0
38,DEBUG_INFO_REDUCED,88050,4421,0
39,DEBUG_INFO_SPLIT,87993,4478,0
40,DEBUG_PAGE_REF,72320,20151,0
41,DEBUG_SECTION_MISMATCH,46310,46161,0
42,DEBUG_VM_VMACACHE,72163,20308,0
43,DOUBLEFAULT,34908,57563,0
44,DYNAMIC_DEBUG,64168,28303,0
45,DYNAMIC_FTRACE,75340,17131,0
46,EISA_NAMES,0,0,0
47,ELF_CORE,52505,39966,0
48,EXT4_USE_FOR_EXT2,83913,8558,0
49,FAT_FS,42551,40410,0
50,FB_MODE_HELPERS,16794,75677,0
51,FILE_LOCKING,35129,57342,0
52,FRAME_POINTER,7241,85230,0
53,FS_DAX,64258,28213,0
54,GCOV_PROFILE_ALL,86996,5475,0
55,HIGH_RES_TIMERS,46469,46002,0
56,HWSPINLOCK_SIRF,0,0,0
57,INET,70031,22440,0
58,INITRAMFS_COMPRESSION_BZIP2,0,0,0
59,INITRAMFS_COMPRESSION_GZIP,0,0,0
60,INITRAMFS_COMPRESSION_LZ4,0,0,0
61,INITRAMFS_COMPRESSION_LZMA,0,0,0
62,INITRAMFS_COMPRESSION_LZO,0,0,0
63,INITRAMFS_COMPRESSION_NONE,0,0,0
64,INITRAMFS_COMPRESSION_XZ,0,0,0
65,IP_MULTICAST,81328,11143,0
66,IPW2100_DEBUG,91590,881,0
67,IPW2200_DEBUG,91612,859,0
68,IPX,62750,22260,0
69,IRQSOFF_TRACER,69527,22944,0
70,ISDN_CAPI_CAPIDRV_VERBOSE,91141,1330,0
71,ISO9660_FS,55206,27883,0
72,IWLEGACY_DEBUG,91673,798,0
73,IWLWIFI_DEBUG,91914,557,0
74,JUMP_LABEL,46267,46204,0
75,KALLSYMS,427,92044,0
76,KALLSYMS_ALL,13730,78741,0
77,KASAN_INLINE,0,0,0
78,KASAN_OUTLINE,81346,11125,0
79,KERNEL_BZIP2,0,0,0
80,KERNEL_GZIP,0,0,0
81,KERNEL_LZ4,0,0,0
82,KERNEL_LZMA,0,0,0
83,KERNEL_LZO,0,0,0
84,KERNEL_XZ,0,0,0
85,LGUEST_GUEST,0,0,0
86,LIBIPW_DEBUG,91316,1155,0
87,MAC80211_MESSAGE_TRACING,86261,6210,0
88,MAC80211_NOINLINE,89419,3052,0
89,MATH_EMULATION,0,0,0
90,MEDIA_SUBDRV_AUTOSELECT,63785,28686,0
91,MINIX_FS,70053,16982,0
92,MODULE_COMPRESS,69560,22911,0
93,MODULE_SIG,69314,23157,0
94,MODULE_UNLOAD,69389,23082,0
95,MSDOS_FS,55090,28047,0
96,MTD_CFI_ADV_OPTIONS,64272,28199,0
97,MTD_CFI_GEOMETRY,78477,13994,0
98,MTRR,35032,57439,0
99,NOMMU_INITIAL_TRIM_EXCESS,0,0,0
100,OCFS2_DEBUG_MASKLOG,83432,9039,0
101,OMAP_REMOTEPROC,0,0,0
102,OPENVSWITCH_GENEVE,90644,983,0
103,OPENVSWITCH_GRE,88168,2210,0
104,OPENVSWITCH_VXLAN,90665,964,0
105,OPTIMIZE_INLINING,41134,51337,0
106,PLIP,81527,6828,0
107,PNP_DEBUG_MESSAGES,73040,19431,0
108,POSIX_TIMERS,35020,57451,0
109,PPP,74274,13373,0
110,PREEMPT_TRACER,0,0,0
111,PROC_FS,35120,57351,0
112,PROC_PAGE_MONITOR,46002,46469,0
113,PROC_SYSCTL,52481,39990,0
114,READABLE_ASM,51703,40768,0
115,REISERFS_PROC_INFO,79561,12910,0
116,RELOCATABLE,48616,43855,0
117,SCSI_CONSTANTS,67813,24658,0
118,SCSI_LOGGING,67573,24898,0
119,SCSI_SAS_HOST_SMP,73451,19020,0
120,SERIAL_8250_PCI,72276,13297,0
121,SH_CPU_FREQ,0,0,0
122,SKGE_GENESIS,90630,1841,0
123,SLIP,82170,7736,0
124,SLOB,84619,7852,0
125,SLUB_DEBUG,39203,53268,0
126,SND_PROC_FS,75040,17431,0
127,SSB_SILENT,68139,24332,0
128,SUNRPC_DEBUG,91046,1425,0
129,SYSCTL_SYSCALL,83778,8693,0
130,SYSFS,457,92014,0
131,SYSTEM_EXTRA_CERTIFICATE,72421,20050,0
132,SYSV_FS,69998,16798,0
133,THINKPAD_ACPI_DEBUG,83635,8836,0
134,TRIM_UNUSED_KSYMS,81321,11150,0
135,UBSAN_SANITIZE_ALL,86944,5527,0
136,UNUSED_SYMBOLS,45831,46640,0
137,VFAT_FS,55215,27822,0
138,VIRTIO_PCI_LEGACY,74097,18374,0
139,X86_16BIT,52701,39770,0
140,X86_FAST_FEATURE_TESTS,23398,69073,0
141,X86_FEATURE_NAMES,11646,80825,0
142,X86_INTEL_MPX,55048,37423,0
143,X86_SMAP,35178,57293,0
144,X86_VSYSCALL_EMULATION,34961,57510,0
145,XEN_STUB,0,0,0
146,XFS_DEBUG,83165,9306,0
